Country,2014,Globa Rank,2017,Global Rank,2018,Global Rank,2020,Global Rank,2024,Global Rank,
United States of America,0.824,1,0.919,2,0.926,2,100,1,99.86,2,
Australia,0.765,3,0.824,7,0.89,10,97.47,12,96.24,28,
Malaysia,0.765,3,0.893,3,0.893,8,98.06,5,98.82,10,
Oman,0.765,3,0.871,4,0.868,16,96.04,21,97.01,21,
New Zealand,0.735,4,0.718,19,0.789,36,84.04,48,82.63,63,
Norway,0.735,4,0.786,11,0.892,9,96.89,17,97.01,21,
Brazil,0.706,5,0.593,38,0.577,70,96.6,18,96.38,27,
Estonia,0.706,5,0.846,5,0.905,5,99.48,3,95.04,29,
Germany,0.706,5,0.679,24,0.849,22,97.41,13,93.84,33,
India,0.706,5,0.683,23,0.719,47,97.5,10,98.49,14,
Japan,0.706,5,0.786,11,0.88,14,97.82,7,97.58,18,
Republic of Korea,0.706,5,0.782,13,0.873,15,98.52,4,100,1,
United Kingdom,0.706,5,0.783,12,0.931,1,99.54,2,100,1,
Austria,0.676,6,0.639,30,0.826,28,93.89,29,89.16,50,
Hungary,0.676,6,0.534,51,0.812,31,91.28,35,88.73,52,
Israel,0.676,6,0.691,20,0.783,39,90.93,36,93.6,35,
Netherlands,0.676,6,0.76,15,0.885,12,97.05,16,99.22,7,
Singapore,0.676,6,0.925,1,0.898,6,98.52,4,99.86,2,
Latvia,0.647,7,0.688,21,0.748,44,97.28,15,82.63,63,
Sweden,0.647,7,0.733,17,0.81,32,94.55,26,99.31,4,
Turkey,0.647,7,0.581,43,0.853,20,97.49,11,100,1,
Hong Kong,0.618,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Finland,0.618,8,0.741,16,0.856,19,95.78,22,100,1,
Qatar,0.618,8,0.676,25,0.86,17,94.5,27,100,1,
Slovakia,0.618,8,0.362,81,0.729,45,92.36,34,94.44,31,
Uruguay,0.618,8,0.647,29,0.681,51,75.15,64,94.69,30,
Colombia,0.588,9,0.569,46,0.565,73,63.72,81,65.87,90,
Denmark,0.588,9,0.617,34,0.852,21,92.6,32,100,1,
Egypt,0.588,9,0.772,14,0.842,23,95.48,23,100,1,
France,0.588,9,0.819,8,0.918,3,97.6,9,98.98,9,
Mauritius,0.588,9,0.83,6,0.88,14,96.89,17,100,1,
Spain,0.588,9,0.718,19,0.896,7,98.52,4,99.74,3,
Italy,0.559,10,0.626,31,0.837,25,96.13,20,100,1,
Morocco,0.559,10,0.541,49,0.429,93,82.41,50,97.5,19,
Uganda,0.559,10,0.536,50,0.621,65,69.98,72,82.94,62,
Azerbaijan,0.529,11,0.559,48,0.653,55,89.31,40,93.76,34,
Poland,0.529,11,0.622,33,0.815,29,93.86,30,93.54,36,
Rwanda,0.529,11,0.602,36,0.697,49,79.95,57,98.08,15,
Tunisia,0.529,11,0.591,40,0.536,76,86.23,45,82,65,
Czech Republic,0.5,12,0.609,35,0.569,71,74.37,68,87.94,53,
Georgia,0.5,12,0.819,8,0.857,18,81.06,55,91.92,43,
Russia,0.5,12,0.788,10,0.836,26,98.06,5,92.13,42,
Indonesia,0.471,13,0.424,69,0.776,41,94.88,24,100,1,
Luxembourg,0.471,13,0.602,36,0.886,11,97.41,13,98.72,11,
Romania,0.471,13,0.585,42,0.568,72,76.5,62,91.62,45,
Belgium,0.441,14,0.671,27,0.814,30,96.25,19,96.81,24,
Bulgaria,0.441,14,0.579,44,0.721,46,67.38,77,74.56,77,
China,0.441,14,0.624,32,0.828,27,92.53,33,91.64,44,
Lithuania,0.441,14,0.504,56,0.908,4,97.93,6,92.88,40,
Nigeria,0.441,14,0.569,46,0.65,57,84.76,47,82.4,64,
Sudan,0.441,14,0.271,95,0.294,103,35.03,102,48.17,116,
Argentina,0.412,15,0.482,62,0.407,94,50.12,91,51.51,112,
Cameroon,0.412,15,0.413,74,0.432,91,45.63,93,65.53,92,
Croatia,0.412,15,0.59,41,0.84,24,92.53,33,87.75,54,
Kenya,0.412,15,0.574,45,0.748,44,81.7,51,98.59,13,
Mongolia,0.412,15,0.228,103,0.465,85,26.2,120,56.36,104,
Sri Lanka,0.412,15,0.419,71,0.466,84,58.65,83,87.02,56,
Thailand,0.412,15,0.684,22,0.796,35,86.5,44,99.22,7,
Brunei Darussalam,0.382,16,0.524,53,0.624,64,56.07,85,70.38,80,
Chile,0.382,16,0.367,80,0.47,83,68.83,74,70.23,82,
Moldova,0.382,16,0.418,72,0.662,53,75.78,63,65.09,94,
Montenegro,0.382,16,0.422,70,0.639,61,53.23,87,74.83,75,
Myanmar,0.382,16,0.263,99,0.172,128,36.41,99,73.72,78,
South Africa,0.382,16,0.502,57,0.652,56,78.46,59,86.25,58,
Costa Rica,0.353,17,0.336,85,0.221,115,67.45,76,75.07,74,
Ecuador,0.353,17,0.466,65,0.367,98,26.3,119,87.18,55,
Malta,0.353,17,0.399,75,0.479,82,83.65,49,92.96,39,
Philippines,0.353,17,0.594,37,0.643,58,77,61,93.49,37,
Switzerland,0.353,17,0.727,18,0.788,37,86.97,42,91.26,47,
Ukraine,0.353,17,0.501,58,0.661,54,65.93,78,83.93,60,
United Arab Emirates,0.353,17,0.566,47,0.807,33,98.06,5,100,1,
Burkina Faso,0.324,18,0.208,107,0.4,96,39.98,96,70.23,81,
Mexico,0.324,18,0.66,28,0.629,63,81.68,52,85.77,59,
Peru,0.324,18,0.374,78,0.401,95,55.67,86,83.74,61,
Viet Nam,0.324,18,0.245,100,0.693,50,94.59,25,99.74,3,
Bahrain,0.294,19,0.467,64,0.585,68,77.86,60,97.94,17,
Bangladesh,0.294,19,0.524,53,0.525,78,81.27,53,96.96,22,
Cyprus,0.294,19,0.487,60,0.652,56,88.82,41,98.02,16,
Ghana,0.294,19,0.326,86,0.437,89,86.69,43,99.27,5,
Iran,0.294,19,0.494,59,0.641,60,81.07,54,65.52,93,
Libya,0.294,19,0.224,104,0.206,117,28.78,113,68.09,85,
Panama,0.294,19,0.485,61,0.369,97,34.11,103,66.54,87,
Portugal,0.294,19,0.508,55,0.758,42,97.32,14,99.86,2,
Saudi Arabia,0.294,19,0.569,46,0.881,13,99.54,2,100,1,
Afghanistan,0.265,20,0.245,100,0.177,126,5.2,171,18.41,162,
Serbia,0.265,20,0.311,89,0.643,58,89.8,39,96.82,23,
Togo,0.265,20,0.218,106,0.087,151,33.19,105,88.8,51,
Cote d'Ivoire,0.235,21,0.416,73,0.456,86,67.82,75,78.8,68,
Jamaica,0.235,21,0.339,84,0.407,94,32.53,106,58.2,100,
Albania,0.206,22,0.314,88,0.631,62,64.32,80,86.51,57,
El Salvador,0.206,22,0.208,107,0.124,142,13.3,148,0,176,
Greece,0.206,22,0.475,63,0.527,77,93.98,28,97.11,20,
Guatemala,0.206,22,0.114,137,0.251,112,13.13,150,39.99,122,
Iceland,0.206,22,0.384,77,0.449,87,79.81,58,99.1,8,
Ireland,0.206,22,0.675,26,0.784,38,85.86,46,90.9,48,
Jordan,0.206,22,0.277,92,0.556,74,70.96,71,98.6,12,
Liberia,0.206,22,0.149,123,0.206,117,9.72,162,21.34,157,
Paraguay,0.206,22,0.326,86,0.603,66,57.09,84,74.77,76,
Tanzania,0.206,22,0.317,87,0.642,59,90.58,37,99.26,6,
Trinidad and Tobago,0.206,22,0.098,140,0.188,123,22.18,125,56.23,105,
Venezuela,0.206,22,0.372,79,0.354,99,27.06,116,40.42,121,
Algeria,0.176,23,0.432,67,0.262,108,33.95,104,65.87,90,
Armenia,0.176,23,0.196,110,0.495,79,50.47,90,53.81,108,
Barbados,0.176,23,0.273,94,0.173,127,16.89,139,36.52,132,
Belarus,0.176,23,0.592,39,0.578,69,50.57,89,61.45,97,
Belize,0.176,23,0.182,115,0.129,140,10.29,159,32.35,140,
Benin,0.176,23,0.069,148,0.485,80,80.06,56,91.54,46,
Bosnia and Herzegovina,0.176,23,0.116,135,0.204,118,29.44,110,33.76,137,
Botswana,0.176,23,0.43,68,0.44,88,53.06,88,78.6,69,
Kazakhstan,0.176,23,0.352,82,0.778,40,93.15,31,94.04,32,
Malawi,0.176,23,0.084,144,0.275,106,36.83,97,80.43,66,
Pakistan,0.176,23,0.447,66,0.407,94,64.88,79,96.69,25,
Samoa,0.176,23,0.048,156,0.367,98,29.33,111,43.08,118,
Senegal,0.176,23,0.314,88,0.305,102,35.85,100,67.17,86,
Slovenia,0.176,23,0.343,83,0.701,48,74.93,67,96.48,26,
Syria,0.176,23,0.237,101,0.237,114,22.14,126,51.39,113,
Bahamas,0.147,24,0.137,128,0.147,133,13.37,147,34,135,
Mauritania,0.147,24,0.146,124,0.107,145,18.94,133,39.33,126,
Nicaragua,0.147,24,0.146,124,0.129,140,9,165,20.56,158,
Saint Kitts and Nevis,0.147,24,0.066,150,0.065,157,12.44,153,31.6,142,
State of Palestine,0.147,24,0.228,103,0.307,101,25.18,122,37.72,128,
Tajikistan,0.147,24,0.292,90,0.263,107,17.1,138,25.36,153,
Macedonia,0.147,24,0.517,54,0.8,34,89.92,38,65.89,89,
Uzbekistan,0.147,24,0.277,92,0.666,52,71.11,70,89.2,49,
Vanuatu,0.147,24,0.134,130,0.098,147,12.88,152,69.29,84,
Zambia,0.147,24,0.292,90,0.436,90,68.88,73,92.59,41,
Antigua and Barbuda,0.118,25,0.179,116,0.247,113,15.62,142,18.19,163,
Bhutan,0.118,25,0.199,109,0.181,125,18.34,134,60.61,98,
Bolivia,0.118,25,0.122,133,0.139,135,16.14,140,42.99,119,
Burundi,0.118,25,0.12,134,0.087,151,1.73,179,16.77,166,
Cambodia,0.118,25,0.283,91,0.161,131,19.12,132,37.02,130,
Dominican Republic,0.118,25,0.162,121,0.43,92,75.05,66,75.67,72,
Grenada,0.118,25,0.115,136,0.143,134,9.41,163,20.15,161,
Guyana,0.118,25,0.269,97,0.132,138,28.11,114,47.23,117,
Kyrgyzstan,0.118,25,0.27,96,0.254,111,49.64,92,65.58,91,
Liechtenstein,0.118,25,0.194,111,0.543,75,35.15,101,51.97,110,
Micronesia,0.118,25,0.044,157,0.04,166,0,182,8.78,170,
Nepal,0.118,25,0.275,93,0.26,109,44.99,94,69.76,83,
Papua New Guinea,0.118,25,0.067,149,0.131,139,26.33,118,62.6,95,
Saint Lucia,0.118,25,0.053,155,0.096,149,10.96,158,26.17,149,
Seychelles,0.118,25,0.184,114,0.259,110,13.23,149,50.26,114,
Suriname,0.118,25,0.155,122,0.11,144,31.2,108,34.77,133,
San Marino,0.118,25,0.174,117,0.075,154,13.83,146,25.88,150,
Angola,0.088,26,0.078,145,0.097,148,12.99,151,39.49,125,
Gambia,0.088,26,0.136,129,0.28,104,32.12,107,61.8,96,
Kiribati,0.088,26,0.123,132,0.028,169,13.84,145,55.64,106,
Lebanon,0.088,26,0.172,118,0.186,124,30.44,109,32.37,139,
Madagascar,0.088,26,0.168,120,0.196,119,23.33,124,31.87,141,
Maldives,0.088,26,0.056,154,0.004,175,2.95,177,14.82,167,
Mali,0.088,26,0.06,151,0.085,152,10.14,160,29.48,145,
Monaco,0.088,26,0.236,102,0.751,43,72.57,69,75.42,73,
Niger,0.088,26,0.17,119,0.094,150,11.38,156,41.86,120,
South Sudan,0.088,26,0.067,149,0.065,157,5.75,169,34.38,134,
Tonga,0.088,26,0.292,90,0.208,116,20.95,128,33.78,136,
Turkmenistan,0.088,26,0.133,131,0.115,143,14.48,144,25.85,151,
Zimbabwe,0.088,26,0.192,112,0.186,124,36.49,98,39.85,124,
Andorra,0.059,27,0.057,153,0.115,143,26.38,117,76.66,70,
Congo,0.059,27,0.04,160,0.167,130,14.72,143,56.61,101,
Djibouti,0.059,27,0.099,139,0.063,159,1.73,179,31.49,143,
Dominica,0.059,27,0.01,162,0.019,172,4.2,174,22.83,155,
Fiji,0.059,27,0.222,105,0.194,121,29.08,112,53.81,107,
Haiti,0.059,27,0.04,160,0.046,164,6.4,167,24.27,154,
Kuwait,0.059,27,0.104,138,0.6,67,75.07,65,60.58,99,
Lao,0.059,27,0.392,76,0.195,120,20.34,131,33.74,138,
Mozambique,0.059,27,0.206,108,0.158,132,24.18,123,66.05,88,
Sao Tome and Principe,0.059,27,0.04,160,0.064,158,15.64,141,20.44,159,
Sierra Leone,0.059,27,0.145,125,0.138,136,25.31,121,56.46,102,
Swaziland,0.059,27,0.041,159,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuvalu,0.059,27,0.034,161,0.057,161,5.78,168,20.34,160,
Yemen,0.059,27,0.007,163,0.019,172,0,182,7.19,171,
Cape Verde,0.029,28,0.058,152,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Chad,0.029,28,0.072,147,0.098,147,40.44,95,48.67,115,
Comoros,0.029,28,0.04,160,0.015,173,3.72,175,39.15,127,
Cuba,0.029,28,0.058,152,0.481,81,58.76,82,72.73,79,
Democratic Republic of the Congo,0.029,28,0.04,160,0.008,174,5.3,170,27.61,147,
Eritrea,0.029,28,0.076,146,0.02,171,1.73,179,2.21,175,
Ethiopia,0.029,28,0.267,98,0.278,105,27.74,115,76.34,71,
Gabon,0.029,28,0.139,127,0.318,100,11.36,157,39.86,123,
Guinea,0.029,28,0.09,143,0.191,122,20.53,130,56.39,103,
Guinea-Bissau,0.029,28,0.034,161,0.055,162,9.85,161,6.43,172,
Iraq,0.029,28,0.043,158,0.263,107,20.71,129,53.07,109,
Nauru,0.029,28,0.14,126,0.101,146,21.42,127,21.59,156,
Palau,0.029,28,0.053,155,#N/A,#N/A,#N/A,#N/A,0,176,
Solomon Islands,0.029,28,0.095,141,0.061,160,7.08,166,17.7,164,
Somalia,0.029,28,0.034,161,0.07,156,17.25,137,37.38,129,
Central African Republic,0,29,0.007,163,0.036,167,3.24,176,4.76,174,
Democratic People's Republic of Korea,0,29,0.532,52,0.02,171,1.35,181,6.18,173,
Equatorial Guinea,0,29,0,164,0.031,168,1.46,180,25.44,152,
Honduras,0,29,0.048,156,0.044,165,2.2,178,28.07,146,
Lesotho,0,29,0.094,142,0.051,163,9.08,164,30.58,144,
Marshall Islands,0,29,0.048,156,0.072,155,4.9,172,14.24,168,
Namibia,0,29,0.066,150,0.127,141,11.47,155,36.93,131,
Saint Vincent and the Grenadines,0,29,0.189,113,0.169,129,12.18,154,26.54,148,
Timor-Leste,0,29,0.034,161,0.082,153,4.26,173,16.82,165,
Vatican,,,0.04,160,0.021,170,0,182,9.07,169,
Eswatini,,,,,0.133,137,18.23,135,79.43,67,
Cabo Verde,,,,,0.051,163,17.74,136,51.54,111,